FirstName,LastName,Start,Finish,TimeStart,TimeFinish
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-06 07:20:01,2014-01-06 07:22:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-06 07:57:01,2014-01-06 08:04:09
Nils,Calixto,Gastech,Albert's Fine Clothing,2014-01-06 12:17:01,2014-01-06 12:26:27
Nils,Calixto,Albert's Fine Clothing,Gastech,2014-01-06 13:25:01,2014-01-06 13:34:27
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-06 17:44:01,2014-01-06 17:48:03
Nils,Calixto,Hallowed Grounds,Albert's Fine Clothing,2014-01-06 19:36:01,2014-01-06 19:42:27
Nils,Calixto,Albert's Fine Clothing,Albert's Fine Clothing,2014-01-06 19:49:01,2014-01-06 19:49:01
Nils,Calixto,Albert's Fine Clothing,Hallowed Grounds,2014-01-06 20:27:01,2014-01-06 20:33:30
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-06 22:11:01,2014-01-06 22:15:02
Nils,Calixto,Gastech,Gastech,2014-01-06 23:01:01,2014-01-06 23:01:01
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-07 01:10:01,2014-01-07 01:14:02
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-07 03:20:01,2014-01-07 03:20:01
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-07 07:20:01,2014-01-07 07:22:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-07 07:56:01,2014-01-07 08:03:09
Nils,Calixto,Gastech,General Grocer,2014-01-07 12:09:01,2014-01-07 12:15:16
Nils,Calixto,General Grocer,Gastech,2014-01-07 13:43:01,2014-01-07 13:49:16
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-07 17:40:01,2014-01-07 17:44:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-07 18:51:01,2014-01-07 18:55:52
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-07 20:42:01,2014-01-07 20:46:51
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-07 20:52:01,2014-01-07 20:52:01
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-08 07:47:01,2014-01-08 07:49:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-08 08:00:01,2014-01-08 08:07:09
Nils,Calixto,Gastech,Albert's Fine Clothing,2014-01-08 12:08:01,2014-01-08 12:17:27
Nils,Calixto,Albert's Fine Clothing,Gastech,2014-01-08 13:48:01,2014-01-08 13:57:27
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-08 17:51:01,2014-01-08 17:55:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-08 19:18:01,2014-01-08 19:22:52
Nils,Calixto,Ouzeri Elian,Gastech,2014-01-08 21:22:01,2014-01-08 21:24:04
Nils,Calixto,Gastech,Gastech,2014-01-08 21:29:01,2014-01-08 21:29:01
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-08 23:53:01,2014-01-08 23:57:02
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-09 03:20:01,2014-01-09 03:20:01
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-09 07:21:01,2014-01-09 07:23:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-09 07:51:01,2014-01-09 07:58:09
Nils,Calixto,Gastech,Roberts and Sons,2014-01-09 12:09:01,2014-01-09 12:17:17
Nils,Calixto,Roberts and Sons,Gastech,2014-01-09 13:45:01,2014-01-09 13:53:17
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-09 17:48:01,2014-01-09 17:52:03
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-10 07:50:01,2014-01-10 07:52:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-10 08:08:01,2014-01-10 08:15:09
Nils,Calixto,Gastech,Ouzeri Elian,2014-01-10 12:21:01,2014-01-10 12:23:05
Nils,Calixto,Ouzeri Elian,Gastech,2014-01-10 13:21:01,2014-01-10 13:23:05
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-10 17:34:01,2014-01-10 17:38:03
Nils,Calixto,Hallowed Grounds,White Building,2014-01-10 19:10:01,2014-01-10 19:20:01
Nils,Calixto,White Building,Hallowed Grounds,2014-01-10 23:32:01,2014-01-10 23:39:32
Nils,Calixto,Hallowed Grounds,Albert's Fine Clothing,2014-01-11 12:40:01,2014-01-11 12:46:30
Nils,Calixto,Albert's Fine Clothing,Albert's Fine Clothing,2014-01-11 13:41:01,2014-01-11 13:41:32
Nils,Calixto,Albert's Fine Clothing,Hallowed Grounds,2014-01-11 15:36:01,2014-01-11 15:42:29
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-11 15:49:01,2014-01-11 15:49:01
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-11 18:42:01,2014-01-11 18:47:07
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-11 19:47:01,2014-01-11 19:52:07
Nils,Calixto,Hallowed Grounds,Albert's Fine Clothing,2014-01-12 12:45:01,2014-01-12 12:51:30
Nils,Calixto,Albert's Fine Clothing,Hallowed Grounds,2014-01-12 14:11:01,2014-01-12 14:17:26
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-12 15:14:01,2014-01-12 15:14:01
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-13 07:36:01,2014-01-13 07:38:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-13 08:11:01,2014-01-13 08:18:09
Nils,Calixto,Gastech,Albert's Fine Clothing,2014-01-13 12:15:01,2014-01-13 12:24:27
Nils,Calixto,Albert's Fine Clothing,Gastech,2014-01-13 13:35:01,2014-01-13 13:44:27
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-13 17:30:01,2014-01-13 17:34:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-13 18:45:01,2014-01-13 18:49:52
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-13 19:56:01,2014-01-13 20:00:51
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-13 20:10:01,2014-01-13 20:10:01
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-14 07:24:01,2014-01-14 07:26:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-14 08:04:01,2014-01-14 08:11:09
Nils,Calixto,Gastech,Roberts and Sons,2014-01-14 12:07:01,2014-01-14 12:15:26
Nils,Calixto,Roberts and Sons,Gastech,2014-01-14 13:22:01,2014-01-14 13:30:26
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-14 17:42:01,2014-01-14 17:46:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-14 19:26:01,2014-01-14 19:31:01
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-14 21:15:01,2014-01-14 21:19:52
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-15 07:33:01,2014-01-15 07:35:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-15 07:59:01,2014-01-15 08:06:09
Nils,Calixto,Gastech,Ouzeri Elian,2014-01-15 12:07:01,2014-01-15 12:09:05
Nils,Calixto,Ouzeri Elian,Gastech,2014-01-15 13:29:01,2014-01-15 13:31:05
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-15 17:48:01,2014-01-15 17:52:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-15 19:44:01,2014-01-15 19:50:01
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-15 20:40:01,2014-01-15 20:44:49
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-15 20:53:01,2014-01-15 20:53:01
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-15 22:33:01,2014-01-15 22:37:02
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-16 00:09:01,2014-01-16 00:13:02
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-16 06:30:01,2014-01-16 06:30:01
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-16 07:48:01,2014-01-16 07:50:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-16 08:10:01,2014-01-16 08:17:09
Nils,Calixto,Gastech,Brew've Been Served,2014-01-16 12:23:01,2014-01-16 12:26:42
Nils,Calixto,Brew've Been Served,Gastech,2014-01-16 13:34:01,2014-01-16 13:37:42
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-16 17:25:01,2014-01-16 17:29:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-16 18:54:01,2014-01-16 18:58:52
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-16 20:35:01,2014-01-16 20:39:52
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-17 07:45:01,2014-01-17 07:47:04
Nils,Calixto,Hallowed Grounds,Gastech,2014-01-17 08:05:01,2014-01-17 08:12:09
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-17 17:52:01,2014-01-17 17:56:03
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-17 19:35:01,2014-01-17 19:39:52
Nils,Calixto,Ouzeri Elian,Gastech,2014-01-17 20:31:01,2014-01-17 20:33:05
Nils,Calixto,Gastech,Hallowed Grounds,2014-01-17 22:41:01,2014-01-17 22:45:02
Nils,Calixto,Hallowed Grounds,Hallowed Grounds,2014-01-18 10:02:01,2014-01-18 10:02:01
Nils,Calixto,Hallowed Grounds,Roberts and Sons,2014-01-18 12:48:01,2014-01-18 12:55:05
Nils,Calixto,Roberts and Sons,Kronos Mart,2014-01-18 13:36:01,2014-01-18 13:36:43
Nils,Calixto,Kronos Mart,Hallowed Grounds,2014-01-18 15:58:01,2014-01-18 16:04:26
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-18 18:25:01,2014-01-18 18:29:52
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-18 19:31:01,2014-01-18 19:37:01
Nils,Calixto,Hallowed Grounds,Ouzeri Elian,2014-01-19 18:26:01,2014-01-19 18:31:01
Nils,Calixto,Ouzeri Elian,Hallowed Grounds,2014-01-19 19:52:01,2014-01-19 19:56:50
Lars,Azada,White Building,Bean There Done That,2014-01-06 07:30:01,2014-01-06 07:34:22
Lars,Azada,Bean There Done That,Gastech,2014-01-06 08:11:01,2014-01-06 08:31:11
Lars,Azada,Gastech,Brew've Been Served,2014-01-06 12:17:01,2014-01-06 12:20:42
Lars,Azada,Brew've Been Served,Gastech,2014-01-06 13:26:01,2014-01-06 13:29:42
Lars,Azada,Gastech,White Building,2014-01-06 17:17:01,2014-01-06 17:27:28
Lars,Azada,White Building,Albert's Fine Clothing,2014-01-06 18:55:01,2014-01-06 19:00:01
Lars,Azada,Albert's Fine Clothing,White Building,2014-01-06 20:49:01,2014-01-06 20:52:01
Lars,Azada,White Building,Bean There Done That,2014-01-07 08:02:01,2014-01-07 08:06:22
Lars,Azada,Bean There Done That,Gastech,2014-01-07 08:18:01,2014-01-07 08:38:10
Lars,Azada,Gastech,Gastech,2014-01-07 08:48:40,2014-01-07 08:48:40
Lars,Azada,Gastech,Roberts and Sons,2014-01-07 12:05:01,2014-01-07 12:13:17
Lars,Azada,Roberts and Sons,Gastech,2014-01-07 13:24:01,2014-01-07 13:32:17
Lars,Azada,Gastech,White Building,2014-01-07 17:31:01,2014-01-07 17:41:28
Lars,Azada,White Building,Albert's Fine Clothing,2014-01-07 18:47:01,2014-01-07 18:49:13
Lars,Azada,Albert's Fine Clothing,White Building,2014-01-07 20:10:01,2014-01-07 20:12:13
Lars,Azada,White Building,Bean There Done That,2014-01-08 07:43:01,2014-01-08 07:47:22
