person1,person2,meeting_times,meeting_information
Lucas Alcazar,Nils Calixto,19,"['(""Hallowed Grounds"", ""2014-01-06 07:37:14"", ""2014-01-06 07:57:01"", ""00:19:47"")', '(""Hallowed Grounds"", ""2014-01-07 07:15:14"", ""2014-01-07 07:20:01"", ""00:04:47"")', '(""Hallowed Grounds"", ""2014-01-07 07:22:04"", ""2014-01-07 07:39:01"", ""00:16:57"")', '(""Hallowed Grounds"", ""2014-01-08 07:33:14"", ""2014-01-08 07:47:01"", ""00:13:47"")', '(""Hallowed Grounds"", ""2014-01-08 07:49:04"", ""2014-01-08 08:00:01"", ""00:10:57"")', '(""Hallowed Grounds"", ""2014-01-09 07:44:14"", ""2014-01-09 07:51:01"", ""00:06:47"")', '(""Hallowed Grounds"", ""2014-01-10 07:21:01"", ""2014-01-10 07:50:01"", ""00:29:00"")', '(""Hallowed Grounds"", ""2014-01-10 07:52:04"", ""2014-01-10 08:01:01"", ""00:08:57"")', '(""Hallowed Grounds"", ""2014-01-13 07:17:14"", ""2014-01-13 07:36:01"", ""00:18:47"")', '(""Hallowed Grounds"", ""2014-01-14 07:16:14"", ""2014-01-14 07:24:01"", ""00:07:47"")', '(""Hallowed Grounds"", ""2014-01-14 07:26:04"", ""2014-01-14 07:36:01"", ""00:09:57"")', '(""Hallowed Grounds"", ""2014-01-15 07:11:14"", ""2014-01-15 07:33:01"", ""00:21:47"")', '(""Hallowed Grounds"", ""2014-01-15 07:35:04"", ""2014-01-15 07:42:01"", ""00:06:57"")', '(""Hallowed Grounds"", ""2014-01-16 07:28:14"", ""2014-01-16 07:45:01"", ""00:16:47"")', '(""Hallowed Grounds"", ""2014-01-17 07:02:14"", ""2014-01-17 07:35:01"", ""00:32:47"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 13:07:59"", ""2014-01-12 13:56:01"", ""00:48:02"")', '(""Ouzeri Elian"", ""2014-01-10 12:30:05"", ""2014-01-10 13:21:01"", ""00:50:56"")', '(""White Building"", ""2014-01-10 19:20:01"", ""2014-01-10 23:32:01"", ""04:12:00"")', '(""Brew\'ve Been Served"", ""2014-01-16 12:32:42"", ""2014-01-16 13:26:01"", ""00:53:19"")']"
Hideki Cocinaro,Nils Calixto,14,"['(""Hallowed Grounds"", ""2014-01-06 07:22:04"", ""2014-01-06 07:44:01"", ""00:21:57"")', '(""Hallowed Grounds"", ""2014-01-07 07:14:16"", ""2014-01-07 07:20:01"", ""00:05:45"")', '(""Hallowed Grounds"", ""2014-01-07 07:22:04"", ""2014-01-07 07:52:01"", ""00:29:57"")', '(""Hallowed Grounds"", ""2014-01-08 07:16:16"", ""2014-01-08 07:47:01"", ""00:30:45"")', '(""Hallowed Grounds"", ""2014-01-09 07:10:16"", ""2014-01-09 07:21:01"", ""00:10:45"")', '(""Hallowed Grounds"", ""2014-01-09 07:23:04"", ""2014-01-09 07:51:01"", ""00:27:57"")', '(""Hallowed Grounds"", ""2014-01-10 07:35:16"", ""2014-01-10 07:50:01"", ""00:14:45"")', '(""Hallowed Grounds"", ""2014-01-13 07:45:16"", ""2014-01-13 07:57:01"", ""00:11:45"")', '(""Hallowed Grounds"", ""2014-01-14 07:21:16"", ""2014-01-14 07:24:01"", ""00:02:45"")', '(""Hallowed Grounds"", ""2014-01-14 07:26:04"", ""2014-01-14 07:50:01"", ""00:23:57"")', '(""Hallowed Grounds"", ""2014-01-15 07:17:16"", ""2014-01-15 07:33:01"", ""00:15:45"")', '(""Hallowed Grounds"", ""2014-01-15 07:35:04"", ""2014-01-15 07:49:01"", ""00:13:57"")', '(""Hallowed Grounds"", ""2014-01-16 07:32:16"", ""2014-01-16 07:46:01"", ""00:13:45"")', '(""Ouzeri Elian"", ""2014-01-15 12:22:05"", ""2014-01-15 13:29:01"", ""01:06:56"")']"
Lidelse Dedos,Nils Calixto,16,"['(""Hallowed Grounds"", ""2014-01-06 07:29:46"", ""2014-01-06 07:57:01"", ""00:27:15"")', '(""Hallowed Grounds"", ""2014-01-07 07:04:46"", ""2014-01-07 07:20:01"", ""00:15:15"")', '(""Hallowed Grounds"", ""2014-01-07 07:22:04"", ""2014-01-07 07:43:01"", ""00:20:57"")', '(""Hallowed Grounds"", ""2014-01-08 07:15:46"", ""2014-01-08 07:47:01"", ""00:31:15"")', '(""Hallowed Grounds"", ""2014-01-09 07:20:46"", ""2014-01-09 07:21:01"", ""00:00:15"")', '(""Hallowed Grounds"", ""2014-01-09 07:23:04"", ""2014-01-09 07:51:01"", ""00:27:57"")', '(""Hallowed Grounds"", ""2014-01-10 07:11:46"", ""2014-01-10 07:44:01"", ""00:32:15"")', '(""Hallowed Grounds"", ""2014-01-14 07:46:46"", ""2014-01-14 07:57:01"", ""00:10:15"")', '(""Hallowed Grounds"", ""2014-01-16 07:16:46"", ""2014-01-16 07:48:01"", ""00:31:15"")', '(""Hallowed Grounds"", ""2014-01-16 07:50:04"", ""2014-01-16 07:55:01"", ""00:04:57"")', '(""Hallowed Grounds"", ""2014-01-17 07:31:46"", ""2014-01-17 07:45:01"", ""00:13:15"")', '(""Hallowed Grounds"", ""2014-01-17 07:47:04"", ""2014-01-17 08:00:01"", ""00:12:57"")', '(""Albert\'s Fine Clothing"", ""2014-01-12 12:51:30"", ""2014-01-12 14:07:01"", ""01:15:31"")', '(""General Grocer"", ""2014-01-07 12:18:16"", ""2014-01-07 13:43:01"", ""01:24:45"")', '(""Roberts and Sons"", ""2014-01-09 12:17:17"", ""2014-01-09 13:45:01"", ""01:27:44"")', '(""White Building"", ""2014-01-10 19:20:01"", ""2014-01-10 23:30:01"", ""04:10:00"")']"
Birgitta Frente,Nils Calixto,15,"['(""Hallowed Grounds"", ""2014-01-06 07:22:04"", ""2014-01-06 07:41:01"", ""00:18:57"")', '(""Hallowed Grounds"", ""2014-01-07 07:50:46"", ""2014-01-07 07:56:01"", ""00:05:15"")', '(""Hallowed Grounds"", ""2014-01-08 07:23:46"", ""2014-01-08 07:47:01"", ""00:23:15"")', '(""Hallowed Grounds"", ""2014-01-09 07:32:46"", ""2014-01-09 07:51:01"", ""00:18:15"")', '(""Hallowed Grounds"", ""2014-01-10 07:32:46"", ""2014-01-10 07:43:01"", ""00:10:15"")', '(""Hallowed Grounds"", ""2014-01-14 07:44:46"", ""2014-01-14 07:55:01"", ""00:10:15"")', '(""Hallowed Grounds"", ""2014-01-15 07:01:58"", ""2014-01-15 07:07:01"", ""00:05:03"")', '(""Hallowed Grounds"", ""2014-01-15 07:07:01"", ""2014-01-15 07:33:01"", ""00:26:00"")', '(""Hallowed Grounds"", ""2014-01-15 07:35:04"", ""2014-01-15 07:37:01"", ""00:01:57"")', '(""Hallowed Grounds"", ""2014-01-16 07:27:46"", ""2014-01-16 07:48:01"", ""00:20:15"")', '(""Hallowed Grounds"", ""2014-01-16 07:50:04"", ""2014-01-16 08:00:01"", ""00:09:57"")', '(""Hallowed Grounds"", ""2014-01-17 07:18:01"", ""2014-01-17 07:41:01"", ""00:23:00"")', '(""Albert\'s Fine Clothing"", ""2014-01-13 12:24:27"", ""2014-01-13 13:35:01"", ""01:10:34"")', '(""Ouzeri Elian"", ""2014-01-10 12:23:05"", ""2014-01-10 13:21:01"", ""00:57:56"")', '(""White Building"", ""2014-01-10 19:20:01"", ""2014-01-10 22:29:01"", ""03:09:00"")']"
Marin Onda,Nils Calixto,17,"['(""Hallowed Grounds"", ""2014-01-06 07:22:40"", ""2014-01-06 07:38:01"", ""00:15:21"")', '(""Hallowed Grounds"", ""2014-01-07 07:36:01"", ""2014-01-07 07:48:01"", ""00:12:00"")', '(""Hallowed Grounds"", ""2014-01-08 07:05:40"", ""2014-01-08 07:40:01"", ""00:34:21"")', '(""Hallowed Grounds"", ""2014-01-09 07:14:40"", ""2014-01-09 07:21:01"", ""00:06:21"")', '(""Hallowed Grounds"", ""2014-01-09 07:23:04"", ""2014-01-09 07:44:01"", ""00:20:57"")', '(""Hallowed Grounds"", ""2014-01-10 07:17:40"", ""2014-01-10 07:50:01"", ""00:32:21"")', '(""Hallowed Grounds"", ""2014-01-13 07:17:40"", ""2014-01-13 07:36:01"", ""00:18:21"")', '(""Hallowed Grounds"", ""2014-01-13 07:38:04"", ""2014-01-13 07:48:01"", ""00:09:57"")', '(""Hallowed Grounds"", ""2014-01-14 07:14:40"", ""2014-01-14 07:24:01"", ""00:09:21"")', '(""Hallowed Grounds"", ""2014-01-14 07:26:04"", ""2014-01-14 07:46:01"", ""00:19:57"")', '(""Hallowed Grounds"", ""2014-01-15 07:42:40"", ""2014-01-15 07:59:01"", ""00:16:21"")', '(""Hallowed Grounds"", ""2014-01-16 07:26:40"", ""2014-01-16 07:48:01"", ""00:21:21"")', '(""Hallowed Grounds"", ""2014-01-16 07:50:04"", ""2014-01-16 07:52:01"", ""00:01:57"")', '(""Hallowed Grounds"", ""2014-01-17 07:08:01"", ""2014-01-17 07:33:01"", ""00:25:00"")', '(""General Grocer"", ""2014-01-07 12:15:16"", ""2014-01-07 13:37:01"", ""01:21:45"")', '(""Roberts and Sons"", ""2014-01-14 12:28:17"", ""2014-01-14 13:22:01"", ""00:53:44"")', '(""White Building"", ""2014-01-10 20:10:02"", ""2014-01-10 23:32:01"", ""03:21:59"")']"
Kare Orilla,Nils Calixto,16,"['(""Hallowed Grounds"", ""2014-01-06 07:36:26"", ""2014-01-06 07:52:01"", ""00:15:35"")', '(""Hallowed Grounds"", ""2014-01-07 07:24:26"", ""2014-01-07 07:56:01"", ""00:31:35"")', '(""Hallowed Grounds"", ""2014-01-08 07:21:26"", ""2014-01-08 07:47:01"", ""00:25:35"")', '(""Hallowed Grounds"", ""2014-01-08 07:49:04"", ""2014-01-08 07:53:01"", ""00:03:57"")', '(""Hallowed Grounds"", ""2014-01-09 07:27:26"", ""2014-01-09 07:51:01"", ""00:23:35"")', '(""Hallowed Grounds"", ""2014-01-10 07:27:26"", ""2014-01-10 07:49:01"", ""00:21:35"")', '(""Hallowed Grounds"", ""2014-01-13 07:27:26"", ""2014-01-13 07:36:01"", ""00:08:35"")', '(""Hallowed Grounds"", ""2014-01-13 07:38:04"", ""2014-01-13 07:47:01"", ""00:08:57"")', '(""Hallowed Grounds"", ""2014-01-14 07:50:26"", ""2014-01-14 08:04:01"", ""00:13:35"")', '(""Hallowed Grounds"", ""2014-01-15 07:38:26"", ""2014-01-15 07:59:01"", ""00:20:35"")', '(""Hallowed Grounds"", ""2014-01-16 07:08:01"", ""2014-01-16 07:48:01"", ""00:40:00"")', '(""Hallowed Grounds"", ""2014-01-16 07:50:04"", ""2014-01-16 07:51:01"", ""00:00:57"")', '(""Hallowed Grounds"", ""2014-01-17 07:35:26"", ""2014-01-17 07:45:01"", ""00:09:35"")', '(""Hallowed Grounds"", ""2014-01-17 07:47:04"", ""2014-01-17 08:05:01"", ""00:17:57"")', '(""Roberts and Sons"", ""2014-01-09 12:38:17"", ""2014-01-09 13:45:01"", ""01:06:44"")', '(""Roberts and Sons"", ""2014-01-14 12:36:26"", ""2014-01-14 13:22:01"", ""00:45:35"")']"
Hennie Osvaldo,Nils Calixto,7,"['(""Hallowed Grounds"", ""2014-01-09 07:44:46"", ""2014-01-09 07:51:01"", ""00:06:15"")', '(""Hallowed Grounds"", ""2014-01-13 07:14:46"", ""2014-01-13 07:36:01"", ""00:21:15"")', '(""Hallowed Grounds"", ""2014-01-13 07:38:04"", ""2014-01-13 07:46:01"", ""00:07:57"")', '(""Hallowed Grounds"", ""2014-01-16 07:51:46"", ""2014-01-16 08:03:01"", ""00:11:15"")', '(""General Grocer"", ""2014-01-07 12:17:16"", ""2014-01-07 13:43:01"", ""01:25:45"")', '(""Ouzeri Elian"", ""2014-01-10 12:23:05"", ""2014-01-10 13:21:01"", ""00:57:56"")', '(""Roberts and Sons"", ""2014-01-14 12:20:17"", ""2014-01-14 13:22:01"", ""01:01:44"")']"
Nils Calixto,Sten Sanjorge Jr.,2,"['(""Hallowed Grounds"", ""2014-01-17 07:36:23"", ""2014-01-17 07:45:01"", ""00:08:38"")', '(""Hallowed Grounds"", ""2014-01-17 07:47:04"", ""2014-01-17 07:59:01"", ""00:11:57"")']"
Gustav Cazar,Nils Calixto,8,"['(""Hallowed Grounds"", ""2014-01-18 16:04:26"", ""2014-01-18 18:21:01"", ""02:16:35"")', '(""Albert\'s Fine Clothing"", ""2014-01-06 12:26:27"", ""2014-01-06 13:25:01"", ""00:58:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-06 19:42:27"", ""2014-01-06 19:49:01"", ""00:06:34"")', '(""Albert\'s Fine Clothing"", ""2014-01-06 19:49:01"", ""2014-01-06 20:27:01"", ""00:38:00"")', '(""Ouzeri Elian"", ""2014-01-10 12:23:05"", ""2014-01-10 13:21:01"", ""00:57:56"")', '(""Ouzeri Elian"", ""2014-01-16 18:59:59"", ""2014-01-16 20:35:01"", ""01:35:02"")', '(""White Building"", ""2014-01-10 19:20:01"", ""2014-01-10 23:32:01"", ""04:12:00"")', '(""Brew\'ve Been Served"", ""2014-01-16 12:26:42"", ""2014-01-16 13:34:01"", ""01:07:19"")']"
Hideki Cocinaro,Lucas Alcazar,9,"['(""Hallowed Grounds"", ""2014-01-06 07:37:14"", ""2014-01-06 07:44:01"", ""00:06:47"")', '(""Hallowed Grounds"", ""2014-01-07 07:15:14"", ""2014-01-07 07:39:01"", ""00:23:47"")', '(""Hallowed Grounds"", ""2014-01-08 07:33:14"", ""2014-01-08 07:47:01"", ""00:13:47"")', '(""Hallowed Grounds"", ""2014-01-09 07:44:14"", ""2014-01-09 07:51:01"", ""00:06:47"")', '(""Hallowed Grounds"", ""2014-01-10 07:35:16"", ""2014-01-10 07:52:01"", ""00:16:45"")', '(""Hallowed Grounds"", ""2014-01-14 07:21:16"", ""2014-01-14 07:36:01"", ""00:14:45"")', '(""Hallowed Grounds"", ""2014-01-15 07:17:16"", ""2014-01-15 07:42:01"", ""00:24:45"")', '(""Hallowed Grounds"", ""2014-01-16 07:32:16"", ""2014-01-16 07:45:01"", ""00:12:45"")', '(""Roberts and Sons"", ""2014-01-17 12:35:26"", ""2014-01-17 13:18:01"", ""00:42:35"")']"
