Person 1,Person 2,Location,Overlap Start,Overlap End
Ada Campo-Corrente,Elsa Orilla,Coffee Snack,2014-01-07 07:19:01,2014-01-07 07:19:44
Elsa Orilla,Ada Campo-Corrente,Coffee Snack,2014-01-07 07:19:01,2014-01-07 07:19:44
Isia Vann,Loreto Bodrogi,Coffee Snack,2014-01-07 07:30:01,2014-01-07 07:30:44
Loreto Bodrogi,Isia Vann,Coffee Snack,2014-01-07 07:30:01,2014-01-07 07:30:44
Adra Nubarron,Edvard Vann,Katerina's Café,2014-01-10 07:23:01,2014-01-10 07:25:23
Adra Nubarron,Hennie Osvaldo,Katerina's Café,2014-01-10 07:24:01,2014-01-10 07:25:23
Adra Nubarron,Loreto Bodrogi,Katerina's Café,2014-01-10 07:23:01,2014-01-10 07:25:23
Adra Nubarron,Varja Lagos,Katerina's Café,2014-01-10 07:23:01,2014-01-10 07:23:23
Adra Nubarron,Loreto Bodrogi,Katerina's Café,2014-01-13 07:31:01,2014-01-13 07:32:23
Adra Nubarron,Minke Mies,Katerina's Café,2014-01-13 07:32:01,2014-01-13 07:32:23
Adra Nubarron,Edvard Vann,Katerina's Café,2014-01-15 07:30:01,2014-01-15 07:30:23
Axel Calzas,Varja Lagos,Katerina's Café,2014-01-11 12:47:01,2014-01-11 12:47:07
Axel Calzas,Vira Frente,Katerina's Café,2014-01-11 12:47:01,2014-01-11 12:51:20
Bertrand Ovan,Lidelse Dedos,Katerina's Café,2014-01-07 18:47:29,2014-01-07 18:49:30
Bertrand Ovan,Lucas Alcazar,Katerina's Café,2014-01-12 18:43:39,2014-01-12 18:45:40
Bertrand Ovan,Kare Orilla,Katerina's Café,2014-01-14 18:50:15,2014-01-14 18:51:21
Bertrand Ovan,Linnea Bergen,Katerina's Café,2014-01-15 19:10:51,2014-01-15 19:12:02
Bertrand Ovan,Lucas Alcazar,Katerina's Café,2014-01-16 18:46:33,2014-01-16 18:47:40
Birgitta Frente,Kanon Herrero,Katerina's Café,2014-01-06 12:34:01,2014-01-06 12:35:23
Brand Tempestad,Hennie Osvaldo,Katerina's Café,2014-01-06 07:26:01,2014-01-06 07:26:36
Brand Tempestad,Inga Ferro,Katerina's Café,2014-01-06 07:27:01,2014-01-06 07:29:36
Brand Tempestad,Hennie Osvaldo,Katerina's Café,2014-01-07 07:44:01,2014-01-07 07:45:53
Brand Tempestad,Varja Lagos,Katerina's Café,2014-01-07 07:45:01,2014-01-07 07:45:53
Brand Tempestad,Hennie Osvaldo,Katerina's Café,2014-01-08 07:35:01,2014-01-08 07:37:36
Brand Tempestad,Varja Lagos,Katerina's Café,2014-01-08 07:34:01,2014-01-08 07:36:23
Brand Tempestad,Isia Vann,Katerina's Café,2014-01-10 07:16:01,2014-01-10 07:16:53
Brand Tempestad,Stenig Fusil,Katerina's Café,2014-01-13 07:16:01,2014-01-13 07:19:53
Brand Tempestad,Sven Flecha,Katerina's Café,2014-01-13 07:15:01,2014-01-13 07:15:53
Brand Tempestad,Hennie Osvaldo,Katerina's Café,2014-01-15 07:23:01,2014-01-15 07:24:53
Brand Tempestad,Isia Vann,Katerina's Café,2014-01-15 07:23:01,2014-01-15 07:24:53
Brand Tempestad,Stenig Fusil,Katerina's Café,2014-01-15 07:21:01,2014-01-15 07:24:53
Brand Tempestad,Felix Resumir,Katerina's Café,2014-01-16 07:35:01,2014-01-16 07:37:23
Brand Tempestad,Loreto Bodrogi,Katerina's Café,2014-01-16 07:34:01,2014-01-16 07:36:36
Brand Tempestad,Felix Resumir,Katerina's Café,2014-01-17 07:40:01,2014-01-17 07:40:53
Brand Tempestad,Inga Ferro,Katerina's Café,2014-01-17 07:38:01,2014-01-17 07:40:36
Edvard Vann,Sven Flecha,Katerina's Café,2014-01-06 07:03:01,2014-01-06 07:07:48
Edvard Vann,Stenig Fusil,Katerina's Café,2014-01-09 07:12:01,2014-01-09 07:16:35
Edvard Vann,Adra Nubarron,Katerina's Café,2014-01-10 07:23:01,2014-01-10 07:25:23
Edvard Vann,Hennie Osvaldo,Katerina's Café,2014-01-10 07:24:01,2014-01-10 07:26:36
Edvard Vann,Loreto Bodrogi,Katerina's Café,2014-01-10 07:23:01,2014-01-10 07:25:36
Edvard Vann,Varja Lagos,Katerina's Café,2014-01-10 07:21:01,2014-01-10 07:23:23
Edvard Vann,Hennie Osvaldo,Katerina's Café,2014-01-14 07:11:01,2014-01-14 07:12:48
Edvard Vann,Isia Vann,Katerina's Café,2014-01-14 07:10:01,2014-01-14 07:12:36
Edvard Vann,Stenig Fusil,Katerina's Café,2014-01-14 07:10:01,2014-01-14 07:12:48
Edvard Vann,Orhan Strum,Katerina's Café,2014-01-14 11:55:01,2014-01-14 11:55:23
Edvard Vann,Adra Nubarron,Katerina's Café,2014-01-15 07:30:01,2014-01-15 07:30:23
Edvard Vann,Stenig Fusil,Katerina's Café,2014-01-16 07:44:01,2014-01-16 07:46:48
Edvard Vann,Hennie Osvaldo,Katerina's Café,2014-01-17 07:49:01,2014-01-17 07:49:48
Edvard Vann,Isia Vann,Katerina's Café,2014-01-17 07:44:01,2014-01-17 07:46:36
Edvard Vann,Marin Onda,Katerina's Café,2014-01-19 12:32:01,2014-01-19 12:35:04
Elsa Orilla,Linnea Bergen,Katerina's Café,2014-01-11 18:20:01,2014-01-11 18:22:02
