Person 1,Person 2,Meeting Times,Meeting Information
Ada Campo-Corrente,Axel Calzas,2,"[(""Albert's Fine Clothing"", '2014-01-16 12:04:01', '2014-01-16 12:07:27'), (""Albert's Fine Clothing"", '2014-01-19 18:20:01', '2014-01-19 18:21:44')]"
Ada Campo-Corrente,Brand Tempestad,1,"[(""Albert's Fine Clothing"", '2014-01-15 11:57:01', '2014-01-15 11:58:27')]"
Ada Campo-Corrente,Elsa Orilla,3,"[('Coffee Snack', '2014-01-07 07:19:01', '2014-01-07 07:19:44'), (""Albert's Fine Clothing"", '2014-01-12 17:59:01', '2014-01-12 17:59:42'), (""Albert's Fine Clothing"", '2014-01-16 12:11:01', '2014-01-16 12:13:27')]"
Ada Campo-Corrente,Felix Balas,3,"[(""Albert's Fine Clothing"", '2014-01-09 19:45:01', '2014-01-09 19:45:09'), (""Albert's Fine Clothing"", '2014-01-19 18:21:01', '2014-01-19 18:21:45'), ('Roberts and Sons', '2014-01-14 12:03:01', '2014-01-14 12:06:26')]"
Ada Campo-Corrente,Felix Resumir,1,"[(""Albert's Fine Clothing"", '2014-01-10 12:17:01', '2014-01-10 12:26:27')]"
Ada Campo-Corrente,Gustav Cazar,2,"[(""Albert's Fine Clothing"", '2014-01-18 18:21:01', '2014-01-18 18:21:45'), (""Albert's Fine Clothing"", '2014-01-19 18:20:01', '2014-01-19 18:21:45')]"
Ada Campo-Corrente,Hennie Osvaldo,1,"[('General Grocer', '2014-01-07 12:11:01', '2014-01-07 12:16:16')]"
Ada Campo-Corrente,Inga Ferro,1,"[('Ouzeri Elian', '2014-01-12 12:39:01', '2014-01-12 12:44:56')]"
Ada Campo-Corrente,Ingrid Barranco,7,"[('Spetson Park', '2014-01-06 18:20:01', '2014-01-06 18:21:59'), ('Spetson Park', '2014-01-09 18:02:01', '2014-01-09 18:05:22'), ('Spetson Park', '2014-01-17 18:11:01', '2014-01-17 18:11:22'), ('Spetson Park', '2014-01-19 16:02:01', '2014-01-19 16:06:03'), (""Albert's Fine Clothing"", '2014-01-13 19:31:01', '2014-01-13 19:31:35'), ('Desafio Golf Course', '2014-01-12 13:04:01', '2014-01-12 13:06:05'), ('Desafio Golf Course', '2014-01-19 12:35:01', '2014-01-19 12:36:05')]"
Ada Campo-Corrente,Isak Baza,1,"[(""Albert's Fine Clothing"", '2014-01-15 11:57:01', '2014-01-15 12:01:27')]"
