CarID,Name,arrival,departure,location,TimeSpent
1,Nils Calixto,2014-01-06 07:22:04,2014-01-06 07:57:01,Hallowed Grounds,00:34:57
1,Nils Calixto,2014-01-06 08:04:09,2014-01-06 12:17:01,Gastech,04:12:52
1,Nils Calixto,2014-01-06 12:26:27,2014-01-06 13:25:01,Albert's Fine Clothing,00:58:34
1,Nils Calixto,2014-01-06 13:34:27,2014-01-06 17:44:01,Gastech,04:09:34
1,Nils Calixto,2014-01-06 17:48:03,2014-01-06 19:36:01,Hallowed Grounds,01:47:58
1,Nils Calixto,2014-01-06 19:42:27,2014-01-06 19:49:01,Albert's Fine Clothing,00:06:34
1,Nils Calixto,2014-01-06 19:49:01,2014-01-06 20:27:01,Albert's Fine Clothing,00:38:00
1,Nils Calixto,2014-01-06 20:33:30,2014-01-06 22:11:01,Hallowed Grounds,01:37:31
1,Nils Calixto,2014-01-06 22:15:02,2014-01-06 23:01:01,Gastech,00:45:59
1,Nils Calixto,2014-01-06 23:01:01,2014-01-07 01:10:01,Gastech,02:09:00
1,Nils Calixto,2014-01-07 01:14:02,2014-01-07 03:20:01,Hallowed Grounds,02:05:59
1,Nils Calixto,2014-01-07 03:20:01,2014-01-07 07:20:01,Hallowed Grounds,04:00:00
1,Nils Calixto,2014-01-07 07:22:04,2014-01-07 07:56:01,Hallowed Grounds,00:33:57
1,Nils Calixto,2014-01-07 08:03:09,2014-01-07 12:09:01,Gastech,04:05:52
1,Nils Calixto,2014-01-07 12:15:16,2014-01-07 13:43:01,General Grocer,01:27:45
1,Nils Calixto,2014-01-07 13:49:16,2014-01-07 17:40:01,Gastech,03:50:45
1,Nils Calixto,2014-01-07 17:44:03,2014-01-07 18:51:01,Hallowed Grounds,01:06:58
1,Nils Calixto,2014-01-07 18:55:52,2014-01-07 20:42:01,Ouzeri Elian,01:46:09
1,Nils Calixto,2014-01-07 20:46:51,2014-01-07 20:52:01,Hallowed Grounds,00:05:10
1,Nils Calixto,2014-01-07 20:52:01,2014-01-08 07:47:01,Hallowed Grounds,10:55:00
1,Nils Calixto,2014-01-08 07:49:04,2014-01-08 08:00:01,Hallowed Grounds,00:10:57
1,Nils Calixto,2014-01-08 08:07:09,2014-01-08 12:08:01,Gastech,04:00:52
1,Nils Calixto,2014-01-08 12:17:27,2014-01-08 13:48:01,Albert's Fine Clothing,01:30:34
1,Nils Calixto,2014-01-08 13:57:27,2014-01-08 17:51:01,Gastech,03:53:34
1,Nils Calixto,2014-01-08 17:55:03,2014-01-08 19:18:01,Hallowed Grounds,01:22:58
1,Nils Calixto,2014-01-08 19:22:52,2014-01-08 21:22:01,Ouzeri Elian,01:59:09
1,Nils Calixto,2014-01-08 21:24:04,2014-01-08 21:29:01,Gastech,00:04:57
1,Nils Calixto,2014-01-08 21:29:01,2014-01-08 23:53:01,Gastech,02:24:00
1,Nils Calixto,2014-01-08 23:57:02,2014-01-09 03:20:01,Hallowed Grounds,03:22:59
1,Nils Calixto,2014-01-09 03:20:01,2014-01-09 07:21:01,Hallowed Grounds,04:01:00
1,Nils Calixto,2014-01-09 07:23:04,2014-01-09 07:51:01,Hallowed Grounds,00:27:57
1,Nils Calixto,2014-01-09 07:58:09,2014-01-09 12:09:01,Gastech,04:10:52
1,Nils Calixto,2014-01-09 12:17:17,2014-01-09 13:45:01,Roberts and Sons,01:27:44
1,Nils Calixto,2014-01-09 13:53:17,2014-01-09 17:48:01,Gastech,03:54:44
1,Nils Calixto,2014-01-09 17:52:03,2014-01-10 07:50:01,Hallowed Grounds,13:57:58
1,Nils Calixto,2014-01-10 07:52:04,2014-01-10 08:08:01,Hallowed Grounds,00:15:57
1,Nils Calixto,2014-01-10 08:15:09,2014-01-10 12:21:01,Gastech,04:05:52
1,Nils Calixto,2014-01-10 12:23:05,2014-01-10 13:21:01,Ouzeri Elian,00:57:56
1,Nils Calixto,2014-01-10 13:23:05,2014-01-10 17:34:01,Gastech,04:10:56
1,Nils Calixto,2014-01-10 17:38:03,2014-01-10 19:10:01,Hallowed Grounds,01:31:58
1,Nils Calixto,2014-01-10 19:20:01,2014-01-10 23:32:01,White Building,04:12:00
1,Nils Calixto,2014-01-10 23:39:32,2014-01-11 12:40:01,Hallowed Grounds,13:00:29
